
11:08:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:08:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:09:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:09:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:10:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:10:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:11:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:11:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:12:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:12:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:13:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:13:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:14:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:14:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:15:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:15:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:16:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:16:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:17:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:17:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:18:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:18:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:19:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:19:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:20:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:20:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:21:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:21:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:22:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:22:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:23:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:23:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:24:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:24:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:25:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:25:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:26:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:26:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:27:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
