
10:26:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:26:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:27:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:27:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:28:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:28:02 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:29:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:29:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:30:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:30:02 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:31:02 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:31:03 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:32:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:32:02 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:33:00 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:33:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:34:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:34:02 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:35:00 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:35:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:36:04 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:36:04 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:37:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:37:02 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:38:02 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:38:07 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:39:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:39:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:40:00 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:40:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
10:41:01 am Platform : API, Module : Receipt, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncReceipt
10:41:01 am Platform : API, Module : Payment, Error : TypeError: Cannot read properties of undefined (reading 'map'), Functionality : syncPayment
