
9:42:02 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:42:04 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:43:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:43:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:44:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:44:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:45:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:45:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:46:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:46:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:47:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:47:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:48:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:48:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:49:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:49:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:50:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:50:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:51:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:51:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
9:52:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
9:52:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
