
11:20:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:20:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:22:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:22:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:23:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:23:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:24:01 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:24:01 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:25:00 am Platform : API, Module : Receipt, Error : AxiosError: Request failed with status code 402, Functionality : syncReceipt
11:25:00 am Platform : API, Module : Payment, Error : AxiosError: Request failed with status code 402, Functionality : syncPayment
11:47:34 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
11:51:16 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 417, Functionality : syncItem
11:51:16 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:16 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:16 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:16 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:17 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:17 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:17 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:17 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:17 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 417, Functionality : SyncDebtor-create
11:51:18 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
11:51:18 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
11:51:18 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
11:51:18 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
11:51:19 am Platform : API, Module : Supplier, Error : AxiosError: Request failed with status code 417, Functionality : syncCreditor-create
11:51:19 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
11:51:19 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
11:51:20 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 500, Functionality : syncCreatePurchase
11:51:20 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 500, Functionality : syncCreatePurchase
11:51:20 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 500, Functionality : syncCreatePurchase
11:51:21 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
11:51:21 am Platform : API, Module : syncCreatePurchase, Error : AxiosError: Request failed with status code 404, Functionality : syncCreatePurchase
11:51:21 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
11:51:21 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
11:51:21 am Platform : API, Module : syncCreateSales, Error : AxiosError: Request failed with status code 500, Functionality : syncCreateSales
1:06:31 pm Platform : API, Module : Pdf Generation, Error : Error: Browser was not found at the configured executablePath (/usr/bin/chromium-browser), Functionality : getPurchaseReceiptPdf
