
3:43:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:43:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:43:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:44:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:44:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:44:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:45:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:45:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:45:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:48:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:48:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:48:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:49:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:49:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:49:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:50:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:50:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:50:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:51:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:51:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:51:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:51:57 pm Platform : API, Module : Store Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getStoreList
3:51:57 pm Platform : API, Module : Partner Master, Error : Error: Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : getPartnerList
3:52:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:52:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:52:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:53:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:53:22 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:53:43 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:54:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:54:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:54:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:55:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
3:55:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:55:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
3:56:00 pm Platform : API, Module : Receipt, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncReceipt
3:56:00 pm Platform : API, Module : Notification, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:56:00 pm Platform : API, Module : Payment, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncPayment
3:57:00 pm Platform : API, Module : Receipt, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncReceipt
3:57:00 pm Platform : API, Module : Payment, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncPayment
3:57:00 pm Platform : API, Module : Notification, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
3:58:00 pm Platform : API, Module : Receipt, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : syncReceipt
3:58:00 pm Platform : API, Module : Notification, Error : Error: connect EHOSTUNREACH 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
