
10:26:04 am Platform : API, Module : refersh token, Error : TokenExpiredError: jwt expired, Functionality : refreshtoken
11:04:19 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncItemGroup
11:05:52 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:06:13 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:06:35 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:07:25 am Platform : API, Module : DeleteAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteAccount
11:07:27 am Platform : API, Module : DeleteAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteAccount
11:07:29 am Platform : API, Module : DeleteAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteAccount
11:07:52 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:11:01 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:11:21 am Platform : API, Module : CreateAccount, Error : AxiosError: Request failed with status code 402, Functionality : syncCreateAccount
11:11:33 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateItemGroup
11:11:49 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateItemGroup
11:11:55 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateItemGroup
11:12:00 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateItemGroup
11:13:03 am Platform : API, Module : Item Group, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateItemGroup
11:20:48 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:21:33 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:21:39 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:22:23 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:22:26 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:22:31 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:23:23 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:23:37 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:23:45 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:23:52 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:23:56 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:24:16 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:24:24 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:24:26 am Platform : API, Module : DeleteCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncDeleteCustomer
11:25:56 am Platform : API, Module : Customer, Error : AxiosError: Request failed with status code 402, Functionality : syncCustomer
11:32:34 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:32:40 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:32:49 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:33:02 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:33:13 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:33:19 am Platform : API, Module : UpdateCustomer, Error : AxiosError: Request failed with status code 402, Functionality : syncUpdateCustomer
11:40:02 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:40:24 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:40:45 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:41:14 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:48:03 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:50:42 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:51:24 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
11:51:32 am Platform : API, Module : Item, Error : AxiosError: Request failed with status code 402, Functionality : syncItem
