
9:52:09 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : getRefreshToken
9:52:09 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
10:27:59 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
10:27:59 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
10:57:02 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
10:57:35 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
10:57:47 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
10:58:36 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
10:58:53 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:00:06 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:01:03 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:01:35 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:03:10 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:05:38 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:05:38 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:06:07 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:07:33 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:07:44 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:09:18 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:10:22 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:14:24 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:14:38 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:14:58 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:15:17 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:15:28 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:15:48 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:16:11 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:17:12 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:17:39 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:00 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:01 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:12 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:41 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:45 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
11:18:58 am Platform : Portal, Module : Purchase Order, Info : Request failed with status code 400, Functionality : udfnPurchaseOrderView
