
9:27:49 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : getRefreshToken
9:27:49 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
9:57:46 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
9:57:46 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
9:58:08 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
9:58:08 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
9:59:21 am Platform : Portal, Module : Partner Master, Info : Request failed with status code 404, Functionality : udfnUpdatePartnerDetails
9:59:48 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
9:59:48 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
10:25:08 am Platform : Portal, Module : Sales, Info : Request failed with status code 400, Functionality : udfnGetSalesList
10:26:38 am Platform : Portal, Module : Sales, Info : Request failed with status code 400, Functionality : udfnGetSalesList
10:33:17 am Platform : Portal, Module : Sales, Info : Request failed with status code 400, Functionality : udfnGetSalesList
10:33:17 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:33:25 am Platform : Portal, Module : Sales, Info : Request failed with status code 400, Functionality : udfnGetSalesList
10:33:25 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:33:50 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:34:56 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:35:29 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:35:35 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:35:53 am Platform : Portal, Module : Device Model, Info : deviceModelData is not defined, Functionality : udfnGetDeviceModelList
10:48:30 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:48:34 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:49:51 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:49:59 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:50:27 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:50:48 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:51:01 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:51:21 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
10:52:47 am Platform : Portal, Module : Purchase Register, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegList
11:59:53 am Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:03:14 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:04:33 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:06:29 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:07:14 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:08:34 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetPurchaseRegisterExcelExport
12:30:25 pm Platform : Portal, Module : Purchase Register Excel, Info : Request failed with status code 400, Functionality : udfnGetSalesRegisterExcelExport
1:01:55 pm Platform : Portal, Module : Device Model, Info : Request failed with status code 400, Functionality : udfnGetDeviceModelList
1:05:28 pm Platform : Portal, Module : Device Model, Info : Request failed with status code 400, Functionality : udfnGetDeviceModelList
