
10:38:17 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : getRefreshToken
10:38:18 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
10:38:18 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
10:41:16 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
10:41:16 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
11:34:20 am Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
11:34:20 am Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
1:12:12 pm Platform : Portal, Module : Idle Timeout, Info : idle timeout, Functionality : handleLogout
1:12:12 pm Platform : Portal, Module : auth-service, Info : auth-service, Functionality : userLogout
